word,pos,meaning,level,source
mustache,n.,鬚,6,CEEC-108
mustard,n.,芥末,5,CEEC-108
mute,adj./n./v.,沉默的,6,CEEC-108
mutual,adj.,相互的,4,CEEC-108
my,pron.,pron. 我的；[醫] 邁爾(熱容單位),1,CEEC-108
myself,pron.,"pron. 我自己, 我親自, 我獨自",1,CEEC-108
mysterious,adj.,神秘的,4,CEEC-108
mystery,n.,神秘的事物,3,CEEC-108
myth,n.,"n. 神話, 虛構的事, 虛構的人",5,CEEC-108
nag,n./v.,不斷地挑剔,6,CEEC-108
nail,n.,釘子；指甲,2,CEEC-108
naive,adj.,天真的；樸素的,5,CEEC-108
naked,adj.,裸體的,3,CEEC-108
name,n./v.,名字,1,CEEC-108
namely,adv.,"adv. 即, 就是, 換句話說",4,CEEC-108
nap,n./v.,打盹,3,CEEC-108
napkin,n.,餐巾,3,CEEC-108
narrate,v.,敘述,6,CEEC-108
narrative,adj./n.,故事,5,CEEC-108
narrator,n.,"n. 講述者, 敘述者；[法] 陳述者, 敘述者",6,CEEC-108
narrow,adj./v.,狹窄的；限制,2,CEEC-108
nasty,adj.,"a. 汙穢的, 下流的, 險惡的",5,CEEC-108
nation,n.,國家；民族,2,CEEC-108
national,adj.,國家的,1,CEEC-108
nationalism,n.,"n. 民族主義, 民族特性",6,CEEC-108
nationality,n.,國籍,4,CEEC-108
native,adj./n.,本國的,3,CEEC-108
natural,adj.,自然的,2,CEEC-108
nature,n.,自然,1,CEEC-108
naughty,adj.,頑皮的,2,CEEC-108
navigate,v.,"vi. 航行；vt. 航行於, 駕駛, 操縱, 使通過",6,CEEC-108
navigation,n.,"n. 航行, 航海, 導航；[經] 航空, 航海, 航船",6,CEEC-108
navy,n.,海軍,3,CEEC-108
near,adj./adv./prep./v.,"a. 近的, 近親的, 近似的；adv. 接近, 親近；prep. 靠近, 近似於；v. 接近, 走近",1,CEEC-108
nearby,adj./adv.,附近的,2,CEEC-108
nearly,adv.,幾乎,2,CEEC-108
nearsighted,adj.,近視的,6,CEEC-108
neat,adj.,整潔的,3,CEEC-108
necessary,adj.,必需的,2,CEEC-108
necessity,n.,必需；必需品,3,CEEC-108
neck,n.,頸；脖子,1,CEEC-108
necklace,n.,項鍊,2,CEEC-108
necktie,n.,領帶；領結,3,CEEC-108
need,aux./n./v.,需要,1,CEEC-108
needle,n.,針,2,CEEC-108
needy,adj.,非常貧窮的,4,CEEC-108
negative,adj./n.,否定的,2,CEEC-108
neglect,n./v.,忽視,4,CEEC-108
negotiate,v.,談判,4,CEEC-108
negotiation,n.,"n. 談判, 磋商, 交涉；[經] 談判, 協商",5,CEEC-108
neighbor,n.,鄰居,2,CEEC-108
neighborhood,n.,鄰近地區,3,CEEC-108
neither,adj./adv./conj./pron.,兩者都不,2,CEEC-108
nephew,n.,姪兒；外甥,2,CEEC-108
nerve,n.,神經,2,CEEC-108
nervous,adj.,緊張的,2,CEEC-108
nest,n./v.,築巢,3,CEEC-108
net,n./v.,網；用網捕,1,CEEC-108
network,n./v.,"n. 網路, 廣播網, 網狀物；[計] 網路",2,CEEC-108
neutral,adj./n.,"n. 中立者, 中立國, 非彩色, 空檔；a. 中立的, 中性的, 無色的",5,CEEC-108
never,adv.,永不,1,CEEC-108
nevertheless,adv.,仍然；不過,4,CEEC-108
new,adj.,新的,1,CEEC-108
news,n.,新聞,1,CEEC-108
newspaper,n.,報紙,1,CEEC-108
next,adj./adv.,"n. 下一個；a. 下一個的, 其次的, 貼近的；adv. 然後, 下次, 次於；[計] 近鄰幹擾",1,CEEC-108
nice,adj.,好的,1,CEEC-108
nickel,n./v.,鎳,6,CEEC-108
nickname,n./v.,綽號,3,CEEC-108
niece,n.,姪女；外甥女,2,CEEC-108
night,n.,夜,1,CEEC-108
nightmare,n.,惡夢,4,CEEC-108
no,adj./adv./n.,"n. 不, 拒絕, 否決票；a. 沒有, 不是, 絕非；adv. 不",1,CEEC-108
noble,adj./n.,高貴的；貴族的,4,CEEC-108
nobody,n./pron.,"n. 小人物, 無名小卒；pron. 無人, 沒有人",1,CEEC-108
nod,n./v.,點頭；打瞌睡,2,CEEC-108
noise,n.,噪音,1,CEEC-108
noisy,adj.,吵鬧的,1,CEEC-108
nominate,v.,提名某人；指派,5,CEEC-108
nomination,n.,提名；任命,5,CEEC-108
nominee,n.,被提名人,5,CEEC-108
none,adv./pron.,一點兒也沒,2,CEEC-108
nonprofit,adj.,"a. 非贏利的, 無利可圖的；[法] 非營利的, 無利可圖的",5,CEEC-108
nonsense,n.,胡說,4,CEEC-108
noodle,n.,麵條,2,CEEC-108
noon,n.,中午,1,CEEC-108
nope,adj./adv./n.,"adv. 不, 不是",1,CEEC-108
nor,conj.,也不,2,CEEC-108
norm,n.,"n. 基準, 模範, 標準, 準則, 平均數；[化] 定額",5,CEEC-108
normal,adj.,正常的,3,CEEC-108
north,adj./adv./n.,/adv/n.北方,1,CEEC-108
northern,adj.,北方的,2,CEEC-108
nose,n.,鼻；嗅覺,1,CEEC-108
nostril,n.,n. 鼻孔；[醫] 鼻孔,6,CEEC-108
not,adv.,"adv. 不, 非, 未；[計] 非",1,CEEC-108
notable,adj./n.,顯著的,6,CEEC-108
note,n./v.,筆記；注意,1,CEEC-108
notebook,n.,"n. 筆記本, 手冊, 期票簿",2,CEEC-108
nothing,n./pron.,"n. 無, 不關緊要之事, 零；adv. 毫不, 決不；interj. 什麼也沒有, 無",1,CEEC-108
notice,n./v.,n/v.公告；注意；通知,1,CEEC-108
noticeable,adj.,顯明的,5,CEEC-108
notify,v.,通知,5,CEEC-108
notion,n.,"n. 概念, 觀念, 想法, 打算, 別致的小東西；[經] 概念, 打算, 想法",5,CEEC-108
notorious,adj.,惡名昭彰的,6,CEEC-108
nourish,v.,"vt. 滋養, 使健壯, 懷有",6,CEEC-108
nourishment,n.,"n. 滋養品, 養料, 營養；[醫] 營養, 營養品",6,CEEC-108
novel,adj./n.,新奇的,2,CEEC-108
novelist,n.,小說家,3,CEEC-108
novice,n.,"n. 新手, 初學者",6,CEEC-108
now,adv./n.,現在,1,CEEC-108
nowadays,adv.,現在；今日,4,CEEC-108
nowhere,adv./pron.,"adv. 無處, 到處都無",5,CEEC-108
nuclear,adj.,核子的,4,CEEC-108
nucleus,n.,中心；核心,6,CEEC-108
nude,adj./n.,裸體的,6,CEEC-108
number,n./v.,數字；給…號碼,1,CEEC-108
numerous,adj.,許多的,4,CEEC-108
nun,n.,修女；尼姑,3,CEEC-108
nurse,n./v.,護士,1,CEEC-108
nursery,n.,育嬰室,4,CEEC-108
nurture,n./v.,養育；教養,6,CEEC-108
nut,n.,堅果；瘋子,2,CEEC-108
nutrient,adj./n.,"a. 營養的, 滋養的；n. 營養物, 滋養物",5,CEEC-108
nutrition,n.,營養；營養學,5,CEEC-108
nutritious,adj.,"a. 滋養的, 營養的；[醫] 有營養的",4,CEEC-108
O.K.,adj./adv./n./v.,"a. 好, 可以, 行, 對, 好嗎, 很好；adv. 好, 可以, 行, 對, 好嗎, 很好；n. 同意, 籤認, 批准, 認可；vt. 同意, 籤認, 批准, 認可",1,CEEC-108
o’clock,adv.,……點鐘,1,CEEC-108
oak,n.,橡樹,3,CEEC-108
oasis,n.,綠洲,6,CEEC-108
oath,n.,誓約；詛咒,6,CEEC-108
oatmeal,n.,"n. 燕麥片, 燕麥粥；[醫] 燕麥片",6,CEEC-108
obedience,n.,"n. 服從, 順從, 忠實；[法] 服從, 順從, 遵從",4,CEEC-108
obedient,adj.,順從的；孝順的,4,CEEC-108
obey,v.,服從；聽從,2,CEEC-108
object,n./v.,物體；目標,2,CEEC-108
objection,n.,反對,4,CEEC-108
objective,adj./n.,客觀的,4,CEEC-108
obligation,n.,"n. 義務, 責任, 約束, 契約, 恩惠, 債務；[經] 待付款, 債務, 義務",5,CEEC-108
oblige,v.,"vt. 強制, 施恩惠於, 使感激；vi. 施恩惠, 幫忙",6,CEEC-108
obscure,adj./v.,使暗；使不明顯；暗的；不明顯的,5,CEEC-108
observation,n.,觀察,4,CEEC-108
observe,v.,觀察,3,CEEC-108
observer,n.,"n. 觀察者, 遵守者, 觀察員；[法] 觀察者, 觀察員, 監場員",5,CEEC-108
obsess,v.,"vt. 迷住, 使困擾",6,CEEC-108
obstacle,n.,障礙,4,CEEC-108
obstinate,adj.,"a. 倔強的, 頑固的, 不讓步的",6,CEEC-108
obtain,v.,得到,4,CEEC-108
obvious,adj.,明顯的,2,CEEC-108
occasion,n.,場合,3,CEEC-108
occasional,adj.,偶爾的,4,CEEC-108
occupation,n.,職業；佔用,4,CEEC-108
occupy,v.,佔領,4,CEEC-108
occur,v.,發生,2,CEEC-108
occurrence,n.,"n. 發生, 事件, 出現；[醫] 發生",6,CEEC-108
ocean,n.,海洋,2,CEEC-108
octopus,n.,n. 章魚,6,CEEC-108
odd,adj.,奇特的；奇數的,3,CEEC-108
odds,n.,可能的機會,5,CEEC-108
odor,n.,"n. 氣味, 香味, 名聲, 意味；[醫] 氣味",6,CEEC-108
of,prep.,"prep. 的, 屬於",1,CEEC-108
off,adj./adv./prep.,"a. 關著的, 不再生效的, 處於...境況的, 休假的, 空閒的；adv. 走開, ...掉, ...下, 休息, 出發, 隔斷；prep. 離開, 脫落, 不在從事......, 在...之外；vi. 離開, 滾開；vt. 殺死；n. 關閉狀態；[計] 關閉, 清屏命令",1,CEEC-108
offend,v.,冒犯；觸怒,4,CEEC-108
offense,n.,罪過；冒犯,4,CEEC-108
offensive,adj.,使人不愉快,4,CEEC-108
offer,n./v.,n/v.提議；提供,2,CEEC-108
offering,n.,"n. 提供, 奉獻物, 牲禮, 上市的股票(或證券等)；[經] 出售物",5,CEEC-108
office,n.,辦公室,1,CEEC-108
officer,n.,軍官；官員,1,CEEC-108
official,adj./n.,官方的；官員,2,CEEC-108
offshore,adj.,"a. 海面的, 吹向海面的, 近海的；adv. 向海面",6,CEEC-108
offspring,n.,後代；後裔,6,CEEC-108
often,adv.,時常,1,CEEC-108
oil,n./v.,油；石油,1,CEEC-108
OK,adj./adv./n./v.,"a. 好, 不錯, 可以；adv. 好, 不錯, 可以；n. 批准, 認可；[計] 確定",1,CEEC-108
okay,adj./adv./n./v.,"a. 好, 可以, 行, 對, 好嗎, 很好；adv. 好, 可以, 行, 對, 好嗎, 很好；n. 同意, 籤認, 批准, 認可；vt. 同意, 籤認, 批准, 認可",1,CEEC-108
old,adj.,老的；舊的,1,CEEC-108
olive,adj./n.,"n. 橄欖, 橄欖樹, 橄欖色, 橄欖枝；a. 黃綠色的, 黃褐色的, 橄欖色的",5,CEEC-108
omit,v.,"vt. 省略, 刪除, 疏忽, 遺漏；[化] 省略",3,CEEC-108
on,adv./prep.,prep. 在...之上；adv. ...上去；a. 正起作用的；[計] 打開,1,CEEC-108
once,adv./conj./n.,曾經；一旦,1,CEEC-108
ongoing,adj.,"a. 前進的, 進行的, 不間斷的；n. 前進, 發展",3,CEEC-108
onion,n.,n. 洋蔥；vt. 因洋蔥使掉淚,3,CEEC-108
online,adj.,[計] 聯機,1,CEEC-108
only,adj./adv./conj.,"a. 唯一的, 僅有的, 最佳的；adv. 只有, 僅僅, 只能；conj. 但是, 不過",1,CEEC-108
onto,prep.,prep. 在...之上,3,CEEC-108
open,adj./v.,"n. 公開, 戶外, 空曠；a. 開著的, 開放的, 開闊的, 營業著的, 公開的, 懸而未決的；vt. 打開, 公開, 開放；vi. 展開, 開始, 展現；[計] 打開指令; 打開語句",1,CEEC-108
opera,n.,n. 歌劇,4,CEEC-108
operate,v.,"v. 操作, 運轉, 動手術, 活動",2,CEEC-108
operation,n.,"n. 操作, 動作, 手術, 運算, 作用, 業務；[計] 運算",3,CEEC-108
operational,adj.,操作的；管理的,5,CEEC-108
operative,adj.,"a. 動作的, 運轉的, 有效的, 關鍵的, 手術的；n. 技工, 偵探",6,CEEC-108
operator,n.,"n. 操作員, 行家, 經紀人, 算子, 運算符；[計] 運算符",2,CEEC-108
opinion,n.,"n. 意見, 評價, 主張；[經] 意見",2,CEEC-108
opponent,n.,對手,5,CEEC-108
opportunity,n.,"n. 機會, 時機",3,CEEC-108
oppose,v.,"vt. 反對, 以...對抗, 抗爭；vi. 反對",4,CEEC-108
opposite,adj./adv./n./prep.,"a. 相對的, 相反的, 對面的；prep. 對面；n. 對立面",3,CEEC-108
opposition,n.,"n. 反對, 敵對, 相反, 在野黨；[醫] 對生, 對向, 反抗, 反對症",5,CEEC-108
oppress,v.,壓迫；壓制,6,CEEC-108
oppression,n.,"n. 壓抑, 沉悶, 壓迫手段；[醫] 壓迫, 壓抑",6,CEEC-108
opt,v.,vi. 選擇,5,CEEC-108
optimism,n.,樂觀；樂天,5,CEEC-108
optimistic,adj.,樂觀的；有信心的,3,CEEC-108
option,n.,選擇權；選擇力,4,CEEC-108
optional,adj.,可選擇的；隨意的,5,CEEC-108
or,conj.,"conj. 或, 或者；[計] 或",1,CEEC-108
oral,adj./n.,"n. 口試；a. 口頭的, 口述的, 口部的",3,CEEC-108
orange,adj./n.,"n. 柑橘, 桔子, 橘色；a. 橘色的",1,CEEC-108
orbit,n./v.,"n. 軌道, 常軌, 眼眶；vt. 繞...軌道而行；vi. 進入軌道, 盤旋",4,CEEC-108
orchard,n.,"n. 果園, 果樹林",5,CEEC-108
orchestra,n.,"n. 管弦樂隊, 樂隊演奏處",4,CEEC-108
ordeal,n.,"n. 嚴酷考驗, 痛苦經歷, 煎熬；[法] 神裁判法, 嚴酷的考驗, 痛苦的經驗",6,CEEC-108
order,n./v.,"n. 次序, 規則, 命令；vi. 命令, 定貨；vt. 整理, 命令, 定購；n. 順序, 階數；[計] 順序, 階數",1,CEEC-108
orderly,adj./n.,"a. 有秩序的, 整齊的, 值班的；n. 護理員, 清道夫, 傳令兵, 勤務兵；adv. 依次地, 順序地",6,CEEC-108
ordinary,adj.,"a. 平常的, 普通的, 平凡的；n. 平常的人(或事)",2,CEEC-108
organ,n.,"n. 風琴, 器官, 元件, 機構, 機關；[電] 風琴",2,CEEC-108
organic,adj.,"a. 器官的, 有機的, 組織的, 根本的；[醫] 器官的, 有生命的, 有機的, 器質的",3,CEEC-108
organism,n.,"n. 生物, 有機體, 社會組織；[醫] 生物[體],[有]機體",5,CEEC-108
organization,n.,組織；團體,2,CEEC-108
organize,v.,組織,3,CEEC-108
organizer,n.,"n. 組織者, 編制者, 創立者, 組織導體；[醫] 組織導體, 機化中心(胚)",6,CEEC-108
orient,n./v.,使朝向東方,6,CEEC-108
oriental,adj./n.,東方人；東方的,6,CEEC-108
orientation,n.,"n. 定方位, 適應, 向東方；n. 方向；[計] 方向",4,CEEC-108
origin,n.,起源；由來,2,CEEC-108
original,adj./n.,最初的；原著,3,CEEC-108
originality,n.,創新；創造力,5,CEEC-108
originate,v.,"vt. 創始, 發明, 發起；vi. 發源, 發生, 起航；[計] 發自",6,CEEC-108
ornament,n./v.,裝飾,6,CEEC-108
orphan,n./v.,孤兒,4,CEEC-108
orphanage,n.,孤兒院,6,CEEC-108
orthodox,adj.,正統的；傳統的,6,CEEC-108
other,adj./pron.,另一個的；另一方,1,CEEC-108
otherwise,adv.,除此之外,4,CEEC-108
ounce,n.,"n. 盎司, 少量, 雪豹；[醫] 英兩, Г",6,CEEC-108
our,pron.,pron. 我們的,1,CEEC-108
ours,pron.,pron. 我們的,1,CEEC-108
ourselves,pron.,pron. 我們自己,1,CEEC-108
out,adj./adv./n./prep./v.,prep/adv.在外,1,CEEC-108
outbreak,n.,爆發；發生,6,CEEC-108
outcome,n.,結果,4,CEEC-108
outdoor,adj.,戶外的,3,CEEC-108
outdoors,adv.,在戶外,3,CEEC-108
outer,adj.,"a. 外部的, 外面的, 在外的, 遠離中心的；[機] 外部的, 外面的, 外側的",3,CEEC-108
outfit,n./v.,裝備；用具,5,CEEC-108
outgoing,adj.,"n. 外出, 開支, 流出；a. 喜歡外出的, 即將離職的, 樂於助人的",6,CEEC-108
outing,n.,遠足,6,CEEC-108
outlaw,n./v.,罪犯,6,CEEC-108
outlet,n.,出口；出路,5,CEEC-108
outline,n./v.,輪廓；綱要,3,CEEC-108
outlook,n.,"n. 觀點, 景色, 前途, 瞭望；[經] 展望",6,CEEC-108
outnumber,v.,比·多,6,CEEC-108
output,n./v.,"n. 輸出, 產品, 產量；[計] 輸出",5,CEEC-108
outrage,n./v.,暴行,6,CEEC-108
outrageous,adj.,駭人的；暴虐的,6,CEEC-108
outright,adj./adv.,"a. 率直的, 完全的, 總共的, 直率的；adv. 完全地, 率直地, 立刻地, 一直向前",6,CEEC-108
outset,n.,開始,6,CEEC-108
outside,adj./adv./n./prep.,在外面；外部的,1,CEEC-108
outsider,n.,"n. 外人, 局外人, 非會員, 外行, 門外漢, 比賽中獲勝可能性不大的選手；[經] 外船公司",5,CEEC-108
outskirts,n.,邊界；市郊,6,CEEC-108
outstanding,adj.,傑出的,4,CEEC-108
outward,adj./adv.,外面的；肉體的,6,CEEC-108
outwards,adv.,adv. 向外地,6,CEEC-108
oval,adj./n.,"n. 橢圓形；a. 卵形的, 橢圓形的",4,CEEC-108
oven,n.,烤箱,3,CEEC-108
over,adv./prep.,在…之上,1,CEEC-108
overall,adj./adv./n.,"a. 全部的, 全體的, 從頭至尾的, 一切在內的；adv. 從頭到尾, 總的說來；n. 罩衫, 工作服",5,CEEC-108
overcoat,n.,外套大衣,4,CEEC-108
overcome,v.,克服,4,CEEC-108
overdo,v.,做太多或過份,6,CEEC-108
overflow,n./v.,"n. 溢值, 超值, 泛濫；v. (使)泛濫, (使)溢出, (使)充溢；[計] 上溢; 溢出",6,CEEC-108
overhead,adj./adv./n.,"n. 經常開支, 普通用費, 天花板；a. 在頭上的, 高架的；adv. 在頭頂上, 在空中, 在高處, 從頭到腳全部沒入地；[計] 總開銷; 額外開銷",5,CEEC-108
overhear,v.,偷聽；無意中聽到,6,CEEC-108
overlap,n./v.,部分重疊；部分相同,6,CEEC-108
overlook,v.,俯視,4,CEEC-108
overnight,adj./adv.,ad v.在昨夜,4,CEEC-108
overseas,adj./adv.,/ad v.來自海外的,3,CEEC-108
oversee,v.,"vt. 向下看, 瞭望, 監督, 偷看到；[法] 監察, 監督, 俯瞰",5,CEEC-108
overtake,v.,追上,5,CEEC-108
overthrow,v.,打翻,4,CEEC-108
overturn,n./v.,使傾覆；推翻,5,CEEC-108
overwhelm,v.,壓倒；淹沒,5,CEEC-108
overwork,n./v.,操勞過度,6,CEEC-108
owe,v.,虧欠,3,CEEC-108
owl,n.,貓頭鷹,3,CEEC-108
own,adj./pron./v.,自己的,1,CEEC-108
owner,n.,持有者,2,CEEC-108
ownership,n.,所有權,3,CEEC-108
ox,n.,公牛,3,CEEC-108
oxygen,n.,氧,4,CEEC-108
oyster,n.,牡蠣,6,CEEC-108
ozone,n.,"n. 新鮮的空氣, 臭氧, 使人愉快的影響；[化] 臭氧",6,CEEC-108
p.m.,adv.,"下午, 午後",1,CEEC-108
pace,n./v.,步；踱步,4,CEEC-108
pack,n./v.,包裹；捆,1,CEEC-108
package,n.,包；包裝,1,CEEC-108
packet,n.,"n. 小包, 一批信件, 大量, 資訊包；vt. 打包, 裝進小包；[計] 分組, 分組報文, 資料分組",6,CEEC-108
pad,n./v.,"n. 填補, 襯墊, 印色盒, 路；vt. 填補, 走, 誇大；vi. 步行；[計] 焊接點; 包裝配/拆卸",3,CEEC-108
paddle,n./v.,"n. 槳, 划槳, 明輪翼；vi. 划槳, 戲水, 涉水；vt. 用槳劃, 划船運送, 攪, 拌",6,CEEC-108
page,n.,頁,1,CEEC-108
pain,n./v.,疼痛,2,CEEC-108
painful,adj.,痛苦的,2,CEEC-108
paint,n./v.,油漆；顏料,1,CEEC-108
painter,n.,畫家,3,CEEC-108
painting,n.,圖畫,2,CEEC-108
pair,n.,一對,1,CEEC-108
pajamas,n.,睡衣褲,2,CEEC-108
pal,n.,夥伴,3,CEEC-108
palace,n.,宮殿,3,CEEC-108
pale,adj.,臉色蒼白的,2,CEEC-108
palm,n.,棕櫚；椰子,3,CEEC-108
pan,n.,平底鍋,2,CEEC-108
pancake,n.,煎餅,3,CEEC-108
panda,n.,熊貓,2,CEEC-108
panel,n.,板,4,CEEC-108
panic,n./v.,恐慌,3,CEEC-108
pants,n.,褲子,1,CEEC-108
papaya,n.,木瓜,2,CEEC-108
paper,n./v.,紙,1,CEEC-108
paperback,n.,"n. 平裝本, 紙面本",6,CEEC-108
parachute,n./v.,降落傘,4,CEEC-108
parade,n./v.,遊行,3,CEEC-108
paradise,n.,天堂,3,CEEC-108
paradox,n.,"n. 似非而是的論點, 自相矛盾的話, 悖論, 怪人怪事；[化] 佯謬",6,CEEC-108
paragraph,n.,段落,4,CEEC-108
parallel,adj./n./v.,"n. 平行, 對比, 相匹敵之物；a. 平行的, 相似的；vt. 與...平行, 與...相似, 相比, 使平行；[計] 並聯; 並行",5,CEEC-108
paralyze,v.,使麻痺；使癱瘓,6,CEEC-108
parcel,n./v.,"n. 包裹, 部分, 片；vt. 分配, 打包；a. 部分的；adv. 局部地",3,CEEC-108
pardon,n./v.,原諒,2,CEEC-108
parent,n.,父母,1,CEEC-108
park,n./v.,公園,1,CEEC-108
parliament,n.,"n. 國會, 議會；[法] 會議, 國會, 議院",6,CEEC-108
parrot,n./v.,鸚鵡,3,CEEC-108
part,n./v.,一部分,1,CEEC-108
partial,adj.,局部的,4,CEEC-108
participant,n.,參與者；分享者,5,CEEC-108
participate,v.,參與,2,CEEC-108
participation,n.,"n. 參與, 分享；[經] 參與, 參股",4,CEEC-108
particle,n.,"n. 顆粒, 粒子, 質點, 極小量；[化] 粒子; 質點",5,CEEC-108
particular,adj.,獨特的,2,CEEC-108
partly,adv.,"adv. 部分地, 在一定程度上",5,CEEC-108
partner,n.,夥伴,2,CEEC-108
partnership,n.,合夥,4,CEEC-108
party,n./v.,派對,1,CEEC-108
pass,n./v.,通行許可；經過,1,CEEC-108
passage,n.,通行,3,CEEC-108
passenger,n.,乘客,3,CEEC-108
passion,n.,熱情,3,CEEC-108
passionate,adj.,熱情的,5,CEEC-108
passive,adj.,被動的,4,CEEC-108
passport,n.,護照,3,CEEC-108
password,n.,"n. 密碼, 口令, 通行手段；[計] 口令",2,CEEC-108
past,adj./adv./n./prep.,過去的,1,CEEC-108
pasta,n.,"n. 義大利麵食；[醫] 糊劑, 泥膏劑",4,CEEC-108
paste,n./v.,麵團,2,CEEC-108
pastime,n.,"n. 消遣, 娛樂, 遊戲",6,CEEC-108
pastry,n.,"n. 油酥點心, 麵粉糕餅",5,CEEC-108
pat,n./v.,拍,3,CEEC-108
patch,n./v.,"n. 片, 補綴, 碎片, 斑, 傻瓜；vt. 補綴, 掩飾, 拼湊, 平息；[計] 修補; 拼湊",5,CEEC-108
patent,adj./n./v.,"n. 專利權, 許可證, 執照, 專利品, 素質；a. 專利的, 特許的, 顯著的, 新奇的；vt. 取得...的專利權, 請準專利",5,CEEC-108
path,n.,小徑,2,CEEC-108
pathetic,adj.,悲哀的,5,CEEC-108
patience,n.,耐心,3,CEEC-108
patient,adj./n.,有耐心的,2,CEEC-108
patriot,n.,愛國者,6,CEEC-108
patriotic,adj.,愛國的,6,CEEC-108
patrol,n./v.,"n. 巡邏, 巡邏員, 偵察隊；v. 巡邏, 巡視",5,CEEC-108
patron,n.,贊助人,5,CEEC-108
pattern,n./v.,樣式,2,CEEC-108
pause,n./v.,暫停,3,CEEC-108
pave,v.,"vt. 鋪設, 安排, 鋪滿, 為...鋪路；[化] 鋪設",3,CEEC-108
pavement,n.,人行道,3,CEEC-108
paw,n./v.,腳掌；腳爪,4,CEEC-108
pay,v.,"n. 薪資, 付款, 補償；vt. 支付, 付清, 補償, 償還, 對...有利, 為...塗防水物；vi. 付款, 付出代價, 償還, 得到報應, 獲得好處",1,CEEC-108
payment,n.,"n. 付款, 支付的款項(或實物), 償還, 報應, 懲罰；[經] 支付, 繳納, 支付款額",1,CEEC-108
pea,n.,豌豆,3,CEEC-108
peace,n.,和平,2,CEEC-108
peaceful,adj.,和平的,2,CEEC-108
peach,n.,桃子,2,CEEC-108
peacock,n.,"n. 孔雀, 好炫耀的人；vi. 炫耀, 神氣活現地行走",6,CEEC-108
peak,n./v.,山頂,2,CEEC-108
peanut,n.,花生,3,CEEC-108
pear,n.,梨,2,CEEC-108
pearl,n.,珍珠,3,CEEC-108
peasant,n.,佃農,5,CEEC-108
pebble,n.,"n. 小圓石, 小鵝卵石, 水晶透鏡, 碎石花紋；[醫] 小石",6,CEEC-108
peculiar,adj.,奇怪的,4,CEEC-108
pedal,n./v.,踏板,5,CEEC-108
pedestrian,adj./n.,行人,5,CEEC-108
peek,n./v.,"vi. 偷看, 窺視；n. 偷看, 看一眼",6,CEEC-108
peel,n./v.,果皮；剝皮,3,CEEC-108
peep,n./v.,窺視；偷看,4,CEEC-108
peer,n./v.,同輩,4,CEEC-108
pen,n./v.,筆,1,CEEC-108
penalty,n.,處罰,4,CEEC-108
pencil,n.,鉛筆,1,CEEC-108
pending,adj.,"a. 未決定的, 待決的, 行將發生的, 向外伸出的；prep. 在等待...之際, 直到...時為止, 在...期間, 在...過程中",6,CEEC-108
penetrate,v.,進入；看穿,5,CEEC-108
penguin,n.,企鵝,3,CEEC-108
peninsula,n.,"n. 半島, 突出的地方, 伊比利亞半島",6,CEEC-108
penny,n.,一分錢,3,CEEC-108
pension,n./v.,養老金,5,CEEC-108
people,n./v.,人們,1,CEEC-108
pepper,n.,胡椒粉,3,CEEC-108
per,prep.,每,2,CEEC-108
perceive,v.,"vt. 感覺, 認知, 理解, 意識到",5,CEEC-108
percent,n.,百分之…,4,CEEC-108
percentage,n.,百分比,4,CEEC-108
perception,n.,"n. 知覺, 感覺, 領悟力, 獲取；[醫] 知覺",5,CEEC-108
perch,n./v.,棲木；高而安全的地位,6,CEEC-108
perfect,adj./n./v.,完美的,2,CEEC-108
perfection,n.,完備,4,CEEC-108
perform,v.,執行；演出,3,CEEC-108
performance,n.,成就；表演,3,CEEC-108
performer,n.,執行者；表演者,5,CEEC-108
perfume,n./v.,香味；香水,4,CEEC-108
perhaps,adv.,也許,1,CEEC-108
peril,n./v.,危險,6,CEEC-108
period,n.,一段時問,2,CEEC-108
perish,v.,毀滅；死亡,6,CEEC-108
permanent,adj.,長久的,4,CEEC-108
permissible,adj.,"a. 可允許的, 可容許程度的；[機] 容許, 允許",6,CEEC-108
permission,n.,準許,3,CEEC-108
permit,n./v.,許可,3,CEEC-108
persevere,v.,"vi. 堅持, 孜孜不倦, 不屈不撓, (辯論中)固執己見",6,CEEC-108
persist,v.,堅持,5,CEEC-108
persistence,n.,"n. 固執, 堅持不懈, 持續(性), 存留(狀態)；[電] 持久",6,CEEC-108
persistent,adj.,堅持的,6,CEEC-108
person,n.,人,1,CEEC-108
personal,adj.,個人的,2,CEEC-108
personality,n.,個性,2,CEEC-108
personnel,n.,"n. 人員, 人事部門, 人事科(處)；[經] 人事, 全體人員, 職工",5,CEEC-108
perspective,adj./n.,透視(畫)法,5,CEEC-108
persuade,v.,說服,3,CEEC-108
persuasion,n.,說服,4,CEEC-108
persuasive,adj.,有說服力的,4,CEEC-108
pessimism,n.,悲觀(主義),5,CEEC-108
pessimistic,adj.,"a. 悲觀的, 厭世的, 悲觀主義的",4,CEEC-108
pest,n.,害蟲,4,CEEC-108
pet,n./v.,寵物；愛撫,1,CEEC-108
petition,n.,請願(書),5,CEEC-108
petrol,n.,"n. 汽油；[經] 汽油, 揮髮油, 石油",6,CEEC-108
petroleum,n.,石油,6,CEEC-108
petty,adj.,不重要的,5,CEEC-108
pharmacist,n.,"n. 藥師, 藥品商, 藥商, 藥劑師；[醫] 藥師, 調劑員, 藥商",6,CEEC-108
pharmacy,n.,藥房,6,CEEC-108
